5 Minutes,Lane 1 Flow (Veh/5 Minutes),# Lane Points,% Observed,SCATS
2006/01/10 00:00,44,1,100,4266
2006/01/10 00:15,53,1,100,4266
2006/01/10 00:30,36,1,100,4266
2006/01/10 00:45,35,1,100,4266
2006/01/10 01:00,37,1,100,4266
2006/01/10 01:15,25,1,100,4266
2006/01/10 01:30,36,1,100,4266
2006/01/10 01:45,26,1,100,4266
2006/01/10 02:00,17,1,100,4266
2006/01/10 02:15,21,1,100,4266
2006/01/10 02:30,18,1,100,4266
2006/01/10 02:45,16,1,100,4266
2006/01/10 03:00,11,1,100,4266
2006/01/10 03:15,18,1,100,4266
2006/01/10 03:30,17,1,100,4266
2006/01/10 03:45,15,1,100,4266
2006/01/10 04:00,7,1,100,4266
2006/01/10 04:15,15,1,100,4266
2006/01/10 04:30,12,1,100,4266
2006/01/10 04:45,15,1,100,4266
2006/01/10 05:00,10,1,100,4266
2006/01/10 05:15,11,1,100,4266
2006/01/10 05:30,9,1,100,4266
2006/01/10 05:45,19,1,100,4266
2006/01/10 06:00,18,1,100,4266
2006/01/10 06:15,25,1,100,4266
2006/01/10 06:30,29,1,100,4266
2006/01/10 06:45,38,1,100,4266
2006/01/10 07:00,34,1,100,4266
2006/01/10 07:15,29,1,100,4266
2006/01/10 07:30,33,1,100,4266
2006/01/10 07:45,47,1,100,4266
2006/01/10 08:00,43,1,100,4266
2006/01/10 08:15,43,1,100,4266
2006/01/10 08:30,58,1,100,4266
2006/01/10 08:45,67,1,100,4266
2006/01/10 09:00,76,1,100,4266
2006/01/10 09:15,96,1,100,4266
2006/01/10 09:30,113,1,100,4266
2006/01/10 09:45,135,1,100,4266
2006/01/10 10:00,135,1,100,4266
2006/01/10 10:15,140,1,100,4266
2006/01/10 10:30,126,1,100,4266
2006/01/10 10:45,132,1,100,4266
2006/01/10 11:00,103,1,100,4266
2006/01/10 11:15,172,1,100,4266
2006/01/10 11:30,147,1,100,4266
2006/01/10 11:45,179,1,100,4266
2006/01/10 12:00,125,1,100,4266
2006/01/10 12:15,132,1,100,4266
2006/01/10 12:30,160,1,100,4266
2006/01/10 12:45,182,1,100,4266
2006/01/10 13:00,161,1,100,4266
2006/01/10 13:15,161,1,100,4266
