SCATS  Site Listing,,,,
The list of Site descriptions and corresponding Site numbers below are used to request more detailed data. ,,,,
If multiple sites are required the format of the request must be a comma separated file containing the Site Number followed by the data range,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Site Number,Location Description,Site Type,Directory,Map reference 
964,ABBOTTS/CLELANDS DEVELOPMENTS,INT,Melway,095G08
968,ABBOTTS/GAINE/MONASH,INT,Melway,095K08
972,ABBOTTS/NATIONAL,INT,Melway,95J08
983,ABBOTTS/REMINGTON,INT,Melway,095G08
1053,ABBOTTSFORD/HAINES,INT,Melway,2A-G07
5300,ABERDEEN/PAKINGTON,INT,Melway,451J03
5302,ABERDEEN/SHANNON,INT,Melway,451G03
4975,AIRPORT DR/CENTRE RD,INT,Melway,005C05
1154,AITKEN/GRAND,INT,,
768,ALBERT NR BAMBURY,POS,Melway,065C08
4440,ALBERT NR EADES,POS,Melway,2G-C01
4234,ALBERT/BUCKLEY,INT,Melway,042C05
4911,ALBERT/CECIL/OLD AUGHTIE,INT,Melway,2K-D06
4912,ALBERT/CLARENDON,INT,Melway,2K-E05
4447,ALBERT/CLARENDON,INT,Melway,2G-D01
3265,ALBERT/DUNDAS/STATION,INT,Melway,031A04
4445,ALBERT/GISBORNE,INT,Melway,2F-K01
3263,ALBERT/GOWER,INT,Melway,019A12
4243,ALBERT/IRVING,INT,Melway,042C05
4733,ALBERT/LAKESIDE DRV,INT,Melway,2K-F05
4446,ALBERT/LANSDOWNE,INT,Melway,2G-B01
4913,ALBERT/MORAY,INT,Melway,2K-F05
2294,ALBERT/MSAC ACCESS ROAD EXIT,INT,Melway,2KC7
3262,ALBERT/MURRAY,INT,Melway,019A12
4444,ALBERT/NICHOLSON/LONSDALE,INT,Melway,2F-J01
4448,ALBERT/POWLETT,INT,Melway,2G-E02
3264,ALBERT/RAGLAN,INT,Melway,031A03
4449,ALBERT/SIMPSON,INT,Melway,2G-F02
3260,ALBERT/TYLER,INT,Melway,019B10
3261,ALBERT/WOOD,INT,Melway,019B11
3785,ALBION NR HOWARD,POS,Melway,029J06
3787,ALBION NR THISTLE,POS,Melway,029E05
4552,ALEXANDRA/ANDERSON,INT,Melway,2G-E11
4549,ALEXANDRA/LINLITHGOW,INT,Melway,2F-K08
4550,ALEXANDRA/SWAN BRIDGE                 VM6,INT,Melway,2G-A08
4739,ALEXANDRA/WILLIAMS NTH,INT,Melway,2M-D03
2678,ALFRIEDA NR MAIN EAST,FLASH PX,Melway,26A01
6322,ALLAN NR ALBION,FLASH PX,VicRoads,269O09
6323,ALLAN NR LAKE,FLASH PX,VicRoads,269011
4846,ALMA/WESTBURY,INT,Melway,058E09
2186,AMAROO/CRAIGIEBURN BYPASS NB EXIT R,INT,Melway,387C05
2799,AMIS BTN VISTA & BUCKLEY,FLASH PX,Melway,027E02
5045,ANAKIE (BELL POST SC),INT,Melway,431G12
5110,ANAKIE NR BARTON,POS,Melway,441F04
5127,ANAKIE NR KINLOCK,INT,Melway,441F2
5099,ANAKIE/SEPARATION,INT,Melway,441F05
4555,ANDERSON NR ACLAND,POS,Melway,2L-D02
4945,ANDERSON NR RIDLEY,POS,Melway,026G12
2642,ANDERSON RD/FOUNDRY RD,INT,Melway,026G10
4956,ANDERSON/DURHAM/GLENGALA,INT,Melway,040G01
4959,ANDERSON/FORREST/SUN/FRASER,INT,Melway,026G12
1299,ANDERSON/GARDINER,INT,,
149,ANDERSON/HARDY,INT,Melway,038F05
6084,ANDREW FAIRLEY/SPC CROSSING,INT,VicRoads,273O08
1055,APPLETON DOCK LINK/ENTERPRIZE,POS,Melway,042J08
3665,APPLETON DOCK/ENTERPRIZE,INT,,
2578,AQUATIC DR NR ROSAMOND RD,FLASH PX,Melway,028A10
2549,AQUATIC NR ROSAMOND,FLASH PX,Melway,
1168,AQUEDUCT RD NR ERINNE CT,POS,Melway,011G09
7093,AQUEDUCT/ST HELENA SHOP CENTRE,INT,,
6069,ARCHER/WILMOT/POPLAR,INT,VicRoads,273N13
6069,ARCHER/WILMOT/POPLAR,INT,VicRoads,273N13
