5 Minutes,Lane 1 Flow (Veh/5 Minutes),# Lane Points,% Observed,SCATS
01/10/2006 00:00,11,1,100,3812
01/10/2006 00:15,16,1,100,3812
01/10/2006 00:30,26,1,100,3812
01/10/2006 00:45,10,1,100,3812
01/10/2006 01:00,14,1,100,3812
01/10/2006 01:15,2,1,100,3812
01/10/2006 01:30,4,1,100,3812
01/10/2006 01:45,7,1,100,3812
01/10/2006 02:00,5,1,100,3812
01/10/2006 02:15,3,1,100,3812
01/10/2006 02:30,6,1,100,3812
01/10/2006 02:45,2,1,100,3812
01/10/2006 03:00,3,1,100,3812
01/10/2006 03:15,3,1,100,3812
01/10/2006 03:30,5,1,100,3812
01/10/2006 03:45,2,1,100,3812
01/10/2006 04:00,0,1,100,3812
01/10/2006 04:15,4,1,100,3812
01/10/2006 04:30,3,1,100,3812
01/10/2006 04:45,9,1,100,3812
01/10/2006 05:00,4,1,100,3812
01/10/2006 05:15,2,1,100,3812
01/10/2006 05:30,6,1,100,3812
01/10/2006 05:45,3,1,100,3812
01/10/2006 06:00,2,1,100,3812
01/10/2006 06:15,9,1,100,3812
01/10/2006 06:30,24,1,100,3812
01/10/2006 06:45,10,1,100,3812
01/10/2006 07:00,14,1,100,3812
01/10/2006 07:15,18,1,100,3812
01/10/2006 07:30,23,1,100,3812
01/10/2006 07:45,22,1,100,3812
01/10/2006 08:00,23,1,100,3812
01/10/2006 08:15,24,1,100,3812
01/10/2006 08:30,39,1,100,3812
01/10/2006 08:45,46,1,100,3812
01/10/2006 09:00,34,1,100,3812
01/10/2006 09:15,60,1,100,3812
01/10/2006 09:30,63,1,100,3812
01/10/2006 09:45,93,1,100,3812
01/10/2006 10:00,106,1,100,3812
01/10/2006 10:15,91,1,100,3812
01/10/2006 10:30,85,1,100,3812
01/10/2006 10:45,89,1,100,3812
01/10/2006 11:00,88,1,100,3812
01/10/2006 11:15,74,1,100,3812
01/10/2006 11:30,169,1,100,3812
01/10/2006 11:45,122,1,100,3812
01/10/2006 12:00,93,1,100,3812
01/10/2006 12:15,86,1,100,3812
01/10/2006 12:30,109,1,100,3812
01/10/2006 12:45,89,1,100,3812
01/10/2006 13:00,127,1,100,3812
01/10/2006 13:15,92,1,100,3812
01/10/2006 13:30,135,1,100,3812
01/10/2006 13:45,130,1,100,3812
01/10/2006 14:00,115,1,100,3812
01/10/2006 14:15,86,1,100,3812
01/10/2006 14:30,91,1,100,3812
01/10/2006 14:45,121,1,100,3812
01/10/2006 15:00,71,1,100,3812
01/10/2006 15:15,104,1,100,3812
01/10/2006 15:30,90,1,100,3812
01/10/2006 15:45,117,1,100,3812
01/10/2006 16:00,86,1,100,3812
01/10/2006 16:15,74,1,100,3812
01/10/2006 16:30,90,1,100,3812
01/10/2006 16:45,75,1,100,3812
01/10/2006 17:00,69,1,100,3812
01/10/2006 17:15,95,1,100,3812
01/10/2006 17:30,68,1,100,3812
01/10/2006 17:45,82,1,100,3812
01/10/2006 18:00,131,1,100,3812
01/10/2006 18:15,60,1,100,3812
01/10/2006 18:30,48,1,100,3812
01/10/2006 18:45,49,1,100,3812
01/10/2006 19:00,42,1,100,3812
01/10/2006 19:15,58,1,100,3812
01/10/2006 19:30,34,1,100,3812
01/10/2006 19:45,25,1,100,3812
01/10/2006 20:00,52,1,100,3812
01/10/2006 20:15,23,1,100,3812
01/10/2006 20:30,25,1,100,3812
01/10/2006 20:45,27,1,100,3812
01/10/2006 21:00,56,1,100,3812
01/10/2006 21:15,24,1,100,3812
01/10/2006 21:30,20,1,100,3812
01/10/2006 21:45,21,1,100,3812
01/10/2006 22:00,16,1,100,3812
01/10/2006 22:15,12,1,100,3812
01/10/2006 22:30,16,1,100,3812
01/10/2006 22:45,9,1,100,3812
01/10/2006 23:00,8,1,100,3812
01/10/2006 23:15,5,1,100,3812
01/10/2006 23:30,5,1,100,3812
01/10/2006 23:45,4,1,100,3812
02/10/2006 00:00,7,1,100,3812
02/10/2006 00:15,4,1,100,3812
02/10/2006 00:30,2,1,100,3812
02/10/2006 00:45,3,1,100,3812
02/10/2006 01:00,4,1,100,3812
02/10/2006 01:15,2,1,100,3812
02/10/2006 01:30,2,1,100,3812
02/10/2006 01:45,0,1,100,3812
02/10/2006 02:00,1,1,100,3812
02/10/2006 02:15,2,1,100,3812
02/10/2006 02:30,2,1,100,3812
02/10/2006 02:45,1,1,100,3812
02/10/2006 03:00,0,1,100,3812
02/10/2006 03:15,2,1,100,3812
02/10/2006 03:30,0,1,100,3812
02/10/2006 03:45,2,1,100,3812
02/10/2006 04:00,1,1,100,3812
02/10/2006 04:15,3,1,100,3812
02/10/2006 04:30,0,1,100,3812
02/10/2006 04:45,0,1,100,3812
02/10/2006 05:00,6,1,100,3812
02/10/2006 05:15,8,1,100,3812
02/10/2006 05:30,10,1,100,3812
02/10/2006 05:45,22,1,100,3812
02/10/2006 06:00,24,1,100,3812
02/10/2006 06:15,38,1,100,3812
02/10/2006 06:30,82,1,100,3812
02/10/2006 06:45,80,1,100,3812
02/10/2006 07:00,139,1,100,3812
02/10/2006 07:15,224,1,100,3812
